Common Name,Scientific Name,Type
Rose-breasted Grosbeak,Pheucticus ludovicianus,Bird
Ruffed Grouse,Bonasa umbellus,Bird
Scarlet Tanager,Piranga olivacea,Bird
Song Sparrow,Melospiza melodia,Bird
Summer Tanager,Piranga rubra,Bird
Tree Swallow,Tachycineta bicolor,Bird
Vesper Sparrow,Pooecetes gramineus,Bird
Warbling Vireo,Vireo gilvus,Bird
Whip-poor-will,Caprimulgus vociferus,Bird
White-breasted Nuthatch,Sitta carolinensis,Bird
White-eyed Vireo,Vireo griseus,Bird
Wild Turkey,Meleagris gallopavo,Bird
Willow Flycatcher,Empidonax traillii,Bird
Wood Thrush,Hylocichla mustelina,Bird
Worm-eating Warbler,Helmitheros vermivorus,Bird
Yellow Warbler,Dendroica petechia,Bird
Yellow-billed Cuckoo,Coccyzus americanus,Bird
Yellow-breasted Chat,Icteria virens,Bird
Yellow-throated Vireo,Vireo flavifrons,Bird
Yellow-throated Warbler,Dendroica dominica,Bird
